Country;Meal, Inexpensive Restaurant;Meal for 2 People,  Mid-range Restaurant, Three-course;Domestic Beer  (0.5 liter draught);Gasoline  (1 liter);Apartment  (1 bedroom)  in City Centre;Apartment  (1 bedroom)  Outside of Centre;Basic  (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment;Internet  (60 Mbps or More, Unlimited Data, Cable/ADSL);Mobile Phone Monthly Plan with Calls and 10GB+ Data
Costa Rica;101.72;610.34;30.52;16.48;6503.66;4415.75;835.18;532.69;228.58
Portugal;103.41;459.58;22.98;21.35;9094.98;6954.94;1256.57;407.42;214.27
Belarus;106.82;427.28;13.41;10.58;3858.45;2453.23;675.66;142.96;121.90
Croatia;107.32;534.09;30.42;17.68;5555.62;4277.33;1813.60;273.78;235.65
Georgia;110.77;410.26;18.46;13.41;7984.78;5504.44;768.22;207.54;100.74
Latvia;114.90;574.48;39.06;19.80;4345.03;3054.86;3478.48;188.05;186.87
Estonia;114.90;654.90;51.70;19.90;6461.36;4761.95;2713.53;284.91;249.49
Slovenia;114.90;517.03;32.17;17.14;6895.72;5500.26;2591.69;383.21;102.52
Lithuania;114.90;574.48;49.40;18.88;7115.00;4739.20;2197.47;156.77;159.79
Sweden;115.63;770.85;69.38;19.52;8782.17;6568.51;926.83;306.21;288.10
Singapore;118.51;790.07;79.01;22.76;35396.79;23586.56;1684.40;366.00;175.89
Puerto Rico;134.61;753.84;25.58;10.64;12167.79;6559.04;2404.42;656.56;764.61
Greece;137.87;517.03;45.96;23.19;4761.49;3992.71;2349.01;349.85;220.54
Germany;137.87;689.37;45.96;22.59;9621.11;7160.97;3148.23;496.42;416.69
Spain;137.87;517.03;28.72;18.84;8729.71;7007.64;1479.27;378.21;228.98
Finland;143.62;919.16;80.43;24.37;9082.55;7446.10;1312.09;234.60;308.33
New Zealand;159.24;764.35;63.70;17.79;11794.22;9801.65;1436.30;547.54;412.23
Uruguay;169.29;564.32;42.32;22.02;6494.08;5030.31;1513.63;432.91;153.90
Indonesia;17.52;175.22;28.04;8.90;3253.19;1978.79;670.04;302.48;32.55
Cyprus;172.34;689.37;34.47;17.68;11166.27;8374.51;2082.30;387.66;233.28
Austria;172.34;689.37;45.96;19.82;9444.38;7568.47;3427.25;378.66;266.01
Italy;172.34;689.37;57.45;22.06;7681.86;5959.64;2258.39;318.71;164.44
Malta;172.34;804.27;34.47;15.52;10222.21;8411.84;1129.68;365.68;287.14
Netherlands;172.34;804.27;57.45;23.40;13784.06;11107.01;2433.72;462.98;291.29
Ireland;172.34;919.16;63.19;20.73;16969.49;14314.14;2379.95;561.18;232.46
France;172.34;689.37;68.94;21.87;8307.83;6791.32;1934.12;338.71;359.85
Australia;173.51;832.86;69.40;13.82;16129.14;12708.28;2226.95;604.90;309.58
Canada;175.35;717.33;55.79;12.86;13515.01;11622.81;1589.70;683.94;453.30
Pakistan;18.16;117.15;-;9.56;1072.02;693.93;766.32;156.18;38.93
Bangladesh;19.65;98.27;-;11.49;1054.63;635.66;370.80;202.71;72.08
Belgium;195.32;861.71;45.96;21.27;9373.34;7889.69;2176.28;564.47;237.98
Israel;198.03;848.69;84.87;19.82;11377.09;9272.79;2335.25;284.62;135.53
Norway;200.00;1000.00;99.00;21.42;11330.12;9054.22;2200.15;554.14;485.33
United Kingdom;200.24;800.97;60.07;20.76;12418.90;9671.32;2812.04;405.94;156.31
Luxembourg;212.56;829.54;57.45;18.62;18147.04;15017.67;2709.57;563.12;258.51
United States;215.38;807.69;64.62;10.80;19796.42;14915.69;2055.30;760.27;494.39
Denmark;215.68;1078.39;77.03;22.50;11787.69;9359.17;2260.21;376.79;223.62
Vietnam;22.17;221.71;11.09;11.82;3851.50;2450.55;680.69;110.17;63.69
Nepal;23.32;202.99;24.36;13.52;1262.64;866.95;260.56;130.28;51.64
Algeria;23.53;196.11;15.69;3.46;1806.77;1134.81;413.89;265.89;134.84
Thailand;24.16;241.64;21.14;12.55;4181.69;2533.21;761.15;175.30;158.23
Sri Lanka;25.03;166.85;16.68;13.03;2201.36;1276.14;439.02;129.00;61.53
India;25.91;129.56;20.73;13.56;2010.22;1286.96;434.95;90.41;40.85
Tunisia;27.34;170.86;13.67;7.67;2064.68;1498.50;461.51;211.21;102.51
Malaysia;27.58;183.85;34.47;4.73;3818.49;2658.65;467.80;272.41;91.92
Switzerland;300.13;1320.59;84.04;23.07;19919.68;15777.53;2806.40;619.69;724.17
Bolivia;31.22;241.93;18.73;5.91;3226.80;2342.06;478.87;498.40;239.33
Egypt;34.84;174.18;17.42;3.42;1596.59;945.89;266.74;119.11;102.10
Morocco;36.78;212.78;26.27;14.30;3281.62;1906.26;411.31;354.89;104.11
China;36.96;295.64;10.35;12.54;5436.14;3300.48;582.02;130.66;159.42
Kenya;37.00;296.03;18.50;12.29;2270.98;1299.43;241.69;394.40;148.01
Iran;37.69;258.46;-;5.88;3832.68;2505.71;191.00;124.81;23.07
Ecuador;37.69;376.92;21.54;7.42;3995.79;2908.66;497.08;411.28;129.72
Philippines;37.89;227.32;13.26;13.58;3489.51;1896.87;1057.37;365.81;471.61
Taiwan;40.48;337.32;20.24;10.38;4621.50;3497.33;877.42;247.05;358.76
Colombia;41.19;247.13;12.36;7.00;3303.12;2741.84;848.33;269.18;87.90
Syria;43.08;204.08;16.69;12.84;1734.07;1063.29;360.80;313.63;97.08
Peru;43.52;246.64;23.21;16.18;4201.24;2737.14;692.33;310.62;123.59
